"cod_dane","municipio","departamento","municipio_std","departamento_std","nombre_municipio","cn_censo_electoral","se_censo_electoral","cn_votantes","se_votantes","cn_votos_validos","se_votos_validos","cn_votos_blancos","se_votos_blancos","cn_votos_nulos","se_votos_nulos","cn_abstencion","se_abstencion","cn_participacion","se_participacion","se_cn_ratio","se_cn_brecha","se_partido_ganador","se_votos_ganador","se_votos_segundo","se_margen","se_HHI","se_ENP","se_total_votos","se_indice_autonomia","se_indice_competencia","se_indice_periferia","se_indice_captura","se_lisa_captura","se_lisa_periferia","se_cluster_tipo","ca_votos_totales","ca_partido_ganador","ca_votos_ganador","ca_votos_segundo","ca_n_partidos","ca_HHI","ca_margen","cn_coalicion","cn_fvida","cn_gran","p22_votos_totales","p22_ganador","p22_votos_ganador","p22_votos_segundo","p22_HHI","p22_margen","p22_petro","p22_fico","p22_rodolfo","p22_fajardo","p22_betancourt","p22_gomez","p22_perez","p22_milton","fiscal_multas","fiscal_responsabilidades","fiscal_disciplinares","fiscal_penales","p18_mesas","p18_total_mesas","p18_votantes","p18_votos_validos","p18_votos_blancos","p18_votos_nulos","p18_votos_no_marcados","p18_duque","p18_petro","p18_fajardo","p18_vargas","p18_delacalle","p18_blanco","p18_morales","p18_trujillo","p18_votos_totales","p18_ganador","p18_HHI","s18_mesas","s18_total_mesas","s18_votantes","s18_votos_validos","s18_votos_blancos","s18_votos_nulos","s18_votos_no_marcados","s18_duque","s18_petro","s18_votos_totales","s18_ganador","s18_margen","pv_subperiodo_1","pv_subperiodo_2","pv_subperiodo_3","pv_total","ct_subperiodo_1","ct_subperiodo_2","ct_subperiodo_3","ct_total","dm_subperiodo_1","dm_subperiodo_2","dm_subperiodo_3","dm_total","idx_exposicion","alta_exposicion","anio","mesas_total_2v2026","mesas_escrutadas_2v2026","censo_2v2026","votantes_2v2026","votos_validos_2v2026","votos_nulos_2v2026","votos_no_marcados_2v2026","votos_blanco_2v2026","votos_2v2026_abelardo_de_la_espriella","votos_2v2026_ivan_cepeda_castro","tipologia_d2"
"91405","La Chorrera","Amazonas","LA CHORRERA","AMAZONAS","LA CHORRERA",1159,1159,21,664,13,582,0,8,2,7,0.981880931837791,0.42709232096635,0.0181190681622088,0.57290767903365,31.6190476190476,0.554788610871441,"Partido Liberal Colombiano",220,101,0.2375249500998,0.259979043908192,3.84646387250019,501,0.395670785093452,0.59768220820804,0.553882850741884,0.600641916978665,"High-High","High-High","Captura territorial",635,"Partido_53",329,212,60,0.40002728005456,0.184251968503937,2,10,90,601,"Gustavo Petro",331,164,0.395306214545364,0.277870216306156,331,77,19,3,2,164,0,5,0,0,0,0,3,3,565,557,3,1,4,44,470,15,19,7,2,0,0,565,"Gustavo Petro",0.72029563350728,3,3,563,560,2,1,0,78,482,560,"Gustavo Petro",0.721428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2026,4,4,1132,666,665,1,0,1,40,624,"periferico"
"91669","Santander","Amazonas","SANTANDER","AMAZONAS","PUERTO SANTANDER",592,592,9,182,3,154,0,11,0,3,0.984797297297297,0.692567567567568,0.0152027027027027,0.307432432432432,20.2222222222222,0.29222972972973,"Partido Liberal Colombiano",23,18,0.0694444444444444,0.217978395061728,4.58761061946903,72,0.451579700915617,0.588594025908746,0.811680677905253,0.550925832059811,"High-High","High-High","Captura territorial",202,"Partido_53",114,76,60,0.462013528085482,0.188118811881188,0,5,18,149,"Gustavo Petro",98,27,0.476149722985451,0.476510067114094,98,27,14,5,0,4,0,1,0,0,0,0,2,2,168,165,1,2,0,27,85,3,47,2,0,0,1,168,"Gustavo Petro",0.373810835629017,2,2,166,163,2,1,0,48,115,163,"Gustavo Petro",0.411042944785276,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2026,2,2,572,201,200,0,1,2,40,158,"periferico"
"91460","Mirití-Paraná","Amazonas","MIRITI PARANA","AMAZONAS","MIRITI PARANA",553,553,11,194,8,176,0,0,0,0,0.980108499095841,0.649186256781193,0.0198915009041591,0.350813743218806,17.6363636363636,0.330922242314647,"Partido Liberal Colombiano",81,13,0.581196581196581,0.501789758200015,1.99286650167419,117,0.235049418482032,0.276276630771321,0.767318390580844,0.757861950102364,"High-High","High-High","Captura territorial",233,"Partido_53",150,74,60,0.51629243493157,0.32618025751073,6,10,27,85,"Gustavo Petro",76,4,0.80401384083045,0.847058823529412,76,4,4,1,0,0,0,0,0,0,0,0,2,2,77,77,0,0,0,4,59,2,5,7,0,0,0,77,"Gustavo Petro",0.602968460111317,2,2,84,84,0,0,0,12,72,84,"Gustavo Petro",0.714285714285714,1,1,0,2,0,0,0,0,0,0,0,0,2,FALSE,2026,3,3,560,167,167,0,0,1,3,163,"control_armado"
"91430","La Victoria","Amazonas","LA VICTORIA","AMAZONAS","LA VICTORIA",76,76,29,49,9,27,0,2,5,2,0.618421052631579,0.355263157894737,0.381578947368421,0.644736842105263,1.68965517241379,0.263157894736842,"Partido Liberal Colombiano",11,9,0.0833333333333333,0.378472222222222,2.64220183486239,24,0.862192702378602,0.636622082117095,0.291652035269135,0.149126926393232,"Low-High","Low-High","Democracia competitiva",33,"Partido Liberal Colombiano",20,7,60,0.445362718089991,0.393939393939394,0,15,54,25,"Gustavo Petro",21,2,0.7184,0.76,21,2,0,2,0,0,0,0,0,0,0,0,1,1,19,18,1,0,0,2,14,1,0,1,0,0,0,19,"Gustavo Petro",0.623456790123457,1,1,17,16,1,0,0,5,11,16,"Gustavo Petro",0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2026,1,1,75,32,32,0,0,0,0,32,"control_armado"
"52560","Potosí","Nariño","POTOSI","NARINO","POTOSI",10164,10164,1021,5717,811,5405,0,77,72,132,0.899547422274695,0.437524596615506,0.100452577725305,0.562475403384494,5.59941234084231,0.462022825659189,"Partido Conservador Colombiano",1329,530,0.250234888819292,0.241621857396519,4.13869842229931,3193,0.655493569688744,0.601417400507205,0.520256051555777,0.339071955722193,"No significativo","No significativo","Dominio partidista",5056,"Partido_71",1560,1369,66,0.213620191200328,0.0377768987341772,106,1315,4455,4493,"Gustavo Petro",2724,1103,0.442322946756606,0.360783440908079,2724,531,1103,100,4,10,3,18,0,0,2,0,32,32,4118,3938,109,45,26,1355,1360,934,220,39,16,7,7,4118,"Gustavo Petro",0.297139950595325,32,32,5145,4944,134,49,18,1933,3011,4944,"Gustavo Petro",0.218042071197411,1,0,0,1,1,0,0,1,0,0,0,0,2,FALSE,2026,36,36,10132,6839,6795,33,11,59,2216,4520,"periferico"
"86569","Puerto Caicedo","Putumayo","PUERTO CAICEDO","PUTUMAYO","PUERTO CAICEDO",10874,10874,742,5135,474,4663,0,186,91,119,0.931763840353136,0.527772668751149,0.0682361596468641,0.47222733124885,6.92048517520216,0.403991171601986,"Pacto Histórico",1669,776,0.200809534517652,0.207340645330869,4.82298103396093,4447,0.609447054956617,0.614985709486902,0.624466120409507,0.385637031133867,"No significativo","High-High","Dominio partidista",4719,"Partido_131",1497,1300,63,0.238651053365265,0.0417461326552236,128,585,2637,4796,"Gustavo Petro",3872,468,0.666994875490487,0.70975813177648,3872,354,468,68,4,4,2,24,0,0,20,2,27,27,4102,3899,103,66,34,396,3007,222,99,137,25,6,7,4102,"Gustavo Petro",0.610227690056196,27,27,4657,4467,101,78,11,606,3861,4467,"Gustavo Petro",0.728676964405641,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2026,34,34,10806,7414,7257,130,27,158,1314,5785,"control_armado"
"52215","Córdoba","Nariño","CORDOBA","NARINO","CORDOBA",11528,11528,802,5198,570,4934,0,128,54,90,0.930430256766135,0.549097848716169,0.0695697432338654,0.450902151283831,6.48129675810474,0.381332408049965,"Pacto Histórico",1181,468,0.220606435643564,0.196256992267915,5.09535985670705,3232,0.630561101839681,0.61025841936856,0.644342486855238,0.362841500276369,"No significativo","No significativo","Periferia democrática",4819,"Partido_71",1722,1269,66,0.22168565572371,0.0940029051670471,92,945,3015,5592,"Gustavo Petro",4526,488,0.670264630547215,0.722103004291845,4526,488,480,78,1,9,0,10,1,0,0,0,30,30,4729,4558,102,43,26,912,3103,248,158,108,19,4,6,4729,"Gustavo Petro",0.508223923296843,30,30,5631,5475,92,47,17,1219,4256,5475,"Gustavo Petro",0.554703196347032,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2026,35,35,11429,8196,8154,34,8,76,1241,6837,"periferico"
"52573","Puerres","Nariño","PUERRES","NARINO","PUERRES",7874,7874,830,4628,643,4452,0,72,72,88,0.894589789179578,0.412242824485649,0.105410210820422,0.587757175514351,5.57590361445783,0.482346964693929,"Pacto Histórico",1188,765,0.105014895729891,0.174503648245795,5.73053921824868,4028,0.714181400965596,0.745265042358566,0.49322166984089,0.283903634416363,"No significativo","No significativo","Dominio partidista",4391,"Partido_26",1118,844,66,0.162549263179416,0.0624003643816898,92,1025,3528,4687,"Gustavo Petro",3508,610,0.587844010522775,0.618305952634948,3508,610,479,78,4,3,0,5,0,0,10,0,22,22,4252,4087,95,59,11,1082,2100,421,433,32,12,3,4,4252,"Gustavo Petro",0.356001941860449,22,22,4668,4490,114,53,11,1616,2874,4490,"Gustavo Petro",0.280178173719376,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2026,24,24,7775,5473,5437,29,7,52,1533,3852,"periferico"
"86320","Orito","Putumayo","ORITO","PUTUMAYO","ORITO",32110,32110,2084,13801,1419,12471,0,518,256,401,0.935098100280287,0.570196200560573,0.0649018997197135,0.429803799439427,6.62236084452975,0.364901899719713,"Pacto Histórico",5607,1891,0.320427696818143,0.278480014139893,3.59092196647783,11597,0.572980153794436,0.490969385742686,0.6671850223544,0.420146485203816,"No significativo","No significativo","Captura territorial",12163,"Partido_127",4676,3061,63,0.255327932771879,0.132779741840007,384,2365,6786,15769,"Gustavo Petro",13360,1259,0.727156210650677,0.767391717927579,13360,833,1259,199,7,16,11,84,0,0,18,1,73,73,13221,12694,176,126,225,1205,9918,1139,161,194,34,20,23,13221,"Gustavo Petro",0.627913866131187,73,73,14193,13838,205,132,18,1790,12048,13838,"Gustavo Petro",0.741292094233271,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2026,98,98,31867,21439,21253,160,26,187,2688,18378,"produccion_intensiva"
"52210","Contadero","Nariño","CONTADERO","NARINO","CONTADERO",6473,6473,657,3616,524,3420,0,74,48,66,0.898501467634791,0.441371852309594,0.101498532365209,0.558628147690406,5.50380517503805,0.457129615325197,"Partido Conservador Colombiano",832,809,0.00925925925925926,0.238645203699814,4.19032096391041,2484,0.723645653641513,0.701794673032388,0.523414500300948,0.283198004403993,"No significativo","No significativo","Dominio partidista",3556,"Partido_71",1144,745,66,0.208774662447284,0.112204724409449,110,405,3492,3288,"Gustavo Petro",2077,584,0.461604093037574,0.454075425790754,2077,584,578,35,1,8,1,4,0,0,0,0,17,17,2522,2447,47,16,12,648,1052,602,115,16,9,4,1,2522,"Gustavo Petro",0.317730575574471,17,17,3266,3159,77,24,6,1215,1944,3159,"Gustavo Petro",0.230769230769231,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2026,21,21,6451,4552,4531,18,3,35,1491,3005,"periferico"
