bloque,municipio,departamento,pct_cepeda,pct_espriella,participacion_1v,participacion_2v,variacion_participacion_pp,tipologia_d2,tipologia_label
CEPEDA >90% CON AUMENTO ABRUPTO,López,Cauca,92.2851448000938,6.436862469222652,35.30826410144294,62.92085701792742,27.61259291648448,control_armado,control_armado
CEPEDA >90% CON AUMENTO ABRUPTO,Santa Bárbara,Nariño,95.02941773179144,4.057618178129438,37.00992555831265,61.88585607940447,24.875930521091817,control_armado,control_armado
CEPEDA >90% CON AUMENTO ABRUPTO,Timbiquí,Cauca,97.3965866358114,2.44913701668113,44.38785134880211,65.38388983210714,20.99603848330503,periferico,periférico
CEPEDA >90% CON AUMENTO ABRUPTO,Magüí,Nariño,97.59685104619847,2.030246529935778,44.92208490059108,65.20687802256852,20.284793121977437,control_armado,control_armado
CEPEDA >90% CON AUMENTO ABRUPTO,Roberto Payán,Nariño,97.79122541603631,1.8154311649016641,45.2904625702732,65.36147549067955,20.071012920406353,control_armado,control_armado
CEPEDA >90% CON AUMENTO ABRUPTO,Sipí,Chocó,90.10137149672033,9.30232558139535,34.52605147520402,53.483992467043315,18.957940991839298,conflicto_activo,conflicto_activo
CEPEDA >90% CON AUMENTO ABRUPTO,Providencia,Nariño,90.155572558020907,9.13032389696506,58.30739299610895,76.80933852140078,18.501945525291823,periferico,periférico
CEPEDA >90% CON AUMENTO ABRUPTO,Pacoa,Vaupés,96.89119170984456,2.763385146804836,28.411811652035116,46.44852354349561,18.036711891460495,control_armado,control_armado
CEPEDA >90% CON AUMENTO ABRUPTO,El Charco,Nariño,92.79612756264237,6.2737281700835235,42.271275701719986,60.04818197097877,17.77690626925878,control_armado,control_armado
CEPEDA >90% CON AUMENTO ABRUPTO,Guapi,Cauca,94.06558598844792,5.505869200670766,38.91084989077291,56.33517112243837,17.42432123166546,produccion_intensiva,prod. intensiva
CEPEDA >90% CON AUMENTO ABRUPTO,Medio Atrato,Chocó,90.09179265658747,9.557235421166308,32.15778474399164,48.88975966562173,16.73197492163009,conflicto_activo,conflicto_activo
CEPEDA >90% CON AUMENTO ABRUPTO,Almaguer,Cauca,93.89939721471627,4.292246934109333,59.617923429370194,75.778519841578,16.16059641220781,periferico,periférico
CEPEDA >90% CON AUMENTO ABRUPTO,Mosquera,Nariño,97.97541576283442,1.7835623041696795,41.401714127730166,57.50622062482721,16.10450649709704,control_armado,control_armado
CEPEDA >90% CON AUMENTO ABRUPTO,Francisco Pizarro,Nariño,96.5326270166145,2.889477486154587,44.02212452134449,59.26818890937456,15.24606438803007,control_armado,control_armado
CEPEDA >90% CON AUMENTO ABRUPTO,Barrancominas,Guainía,91.65001997602876,7.750699161006792,31.436907366885485,45.91539022611233,14.478482859226844,conflicto_activo,conflicto_activo
CEPEDA >90% CON AUMENTO ABRUPTO,Murindó,Antioquia,93.6150234741784,6.150234741784038,45.23809523809524,59.30232558139535,14.06423034330011,conflicto_activo,conflicto_activo
CEPEDA >90% CON AUMENTO ABRUPTO,Bolívar,Cauca,90.2436755952381,7.2265625,61.78068410462777,75.02347417840376,13.242790073775993,periferico,periférico
CEPEDA >90% CON AUMENTO ABRUPTO,Alto Baudó,Chocó,96.69308137762877,3.1697653154526058,41.53820514957087,54.76210315807016,13.22389800849929,conflicto_activo,conflicto_activo
CEPEDA >90% CON AUMENTO ABRUPTO,Medio San Juan,Chocó,90.6418998354103,8.511638843169527,41.75782243703892,54.947850419740526,13.190027982701608,conflicto_activo,conflicto_activo
